item_code,dimension,facet,include_in_main_scale,reverse_scored,item_text,rating
A1,Aufmerksamkeitsarchitektur,Fokusdauer,TRUE,FALSE,"Ich kann beim Lernen meist 45 Minuten oder länger bei einer Aufgabe bleiben, ohne die Konzentration deutlich zu verlieren.",3
A2,Aufmerksamkeitsarchitektur,Distraktibilität,TRUE,TRUE,Ich werde durch kleine Geräusche oder Bewegungen im Raum schnell aus dem Konzept gebracht.,2
A3,Aufmerksamkeitsarchitektur,Wiedereinstieg,TRUE,FALSE,Nach einer Unterbrechung finde ich rasch wieder in die Aufgabe zurück.,4
A4,Aufmerksamkeitsarchitektur,Arbeitsstil_Sequenziell,TRUE,FALSE,Ich arbeite lieber nacheinander an Aufgaben als zwischen mehreren Aufgaben hin- und herzuwechseln.,2
A5,Aufmerksamkeitsarchitektur,Task_Switching_Energie,TRUE,TRUE,"Wenn ich häufig zwischen Aufgaben wechseln muss, kostet mich das spürbar Energie.",2
A6,Aufmerksamkeitsarchitektur,Pausenplanung,TRUE,FALSE,Ich plane meine Pausen beim Lernen bewusst ein.,2
A7,Aufmerksamkeitsarchitektur,Flow_Neigung,TRUE,FALSE,"Wenn ich einmal im Flow bin, vergesse ich leicht die Zeit.",4
A8,Aufmerksamkeitsarchitektur,Chronotyp_Morgen,FALSE,FALSE,"Am frühen Morgen fällt es mir leicht, mich zu konzentrieren.",2
A9,Aufmerksamkeitsarchitektur,Chronotyp_Abend,FALSE,FALSE,"Am späten Abend fällt es mir leicht, mich zu konzentrieren.",5
A10,Aufmerksamkeitsarchitektur,Mikropausenbedarf,TRUE,TRUE,"In längeren Lernphasen brauche ich häufig kurze Mikropausen (zum Beispiel aufstehen, dehnen, kurz bewegen).",4
A11,Aufmerksamkeitsarchitektur,Selbstmonitoring_Konzentration,TRUE,FALSE,"Ich merke relativ früh, wenn meine Konzentration nachlässt.",4
